ID,Location,Country,Parking Available,Weather,Temperature,Rain,Wind Speed,Description
256,Christ the Redeemer,Brazil,Yes,Snowy,31,None,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
257,Big Ben,UK,No,Foggy,32,Light,7,"Information about Big Ben in UK, weather condition: Foggy."
258,Eiffel Tower,France,Yes,Sunny,33,Moderate,8,"Information about Eiffel Tower in France, weather condition: Sunny."
259,Great Wall of China,China,No,Cloudy,34,Heavy,9,"Information about Great Wall of China in China, weather condition: Cloudy."
260,Central Park,USA,Yes,Rainy,35,None,10,"Information about Central Park in USA, weather condition: Rainy."
261,Times Square,Canada,No,Windy,36,Light,11,"Information about Times Square in Canada, weather condition: Windy."
262,Berlin Wall,Germany,Yes,Snowy,37,Moderate,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
263,Sydney Opera House,Australia,No,Foggy,38,Heavy,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
264,Taj Mahal,India,Yes,Sunny,39,None,14,"Information about Taj Mahal in India, weather condition: Sunny."
265,Mount Fuji,Japan,No,Cloudy,40,Light,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
266,Christ the Redeemer,Brazil,Yes,Rainy,41,Moderate,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
267,Big Ben,UK,No,Windy,42,Heavy,17,"Information about Big Ben in UK, weather condition: Windy."
268,Eiffel Tower,France,Yes,Snowy,43,None,18,"Information about Eiffel Tower in France, weather condition: Snowy."
269,Great Wall of China,China,No,Foggy,44,Light,19,"Information about Great Wall of China in China, weather condition: Foggy."
270,Central Park,USA,Yes,Sunny,15,Moderate,5,"Information about Central Park in USA, weather condition: Sunny."
271,Times Square,Canada,No,Cloudy,16,Heavy,6,"Information about Times Square in Canada, weather condition: Cloudy."
272,Berlin Wall,Germany,Yes,Rainy,17,None,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
273,Sydney Opera House,Australia,No,Windy,18,Light,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
274,Taj Mahal,India,Yes,Snowy,19,Moderate,9,"Information about Taj Mahal in India, weather condition: Snowy."
275,Mount Fuji,Japan,No,Foggy,20,Heavy,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
276,Christ the Redeemer,Brazil,Yes,Sunny,21,None,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
277,Big Ben,UK,No,Cloudy,22,Light,12,"Information about Big Ben in UK, weather condition: Cloudy."
278,Eiffel Tower,France,Yes,Rainy,23,Moderate,13,"Information about Eiffel Tower in France, weather condition: Rainy."
279,Great Wall of China,China,No,Windy,24,Heavy,14,"Information about Great Wall of China in China, weather condition: Windy."
280,Central Park,USA,Yes,Snowy,25,None,15,"Information about Central Park in USA, weather condition: Snowy."
281,Times Square,Canada,No,Foggy,26,Light,16,"Information about Times Square in Canada, weather condition: Foggy."
282,Berlin Wall,Germany,Yes,Sunny,27,Moderate,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
283,Sydney Opera House,Australia,No,Cloudy,28,Heavy,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
284,Taj Mahal,India,Yes,Rainy,29,None,19,"Information about Taj Mahal in India, weather condition: Rainy."
285,Mount Fuji,Japan,No,Windy,30,Light,5,"Information about Mount Fuji in Japan, weather condition: Windy."
286,Christ the Redeemer,Brazil,Yes,Snowy,31,Moderate,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
287,Big Ben,UK,No,Foggy,32,Heavy,7,"Information about Big Ben in UK, weather condition: Foggy."
288,Eiffel Tower,France,Yes,Sunny,33,None,8,"Information about Eiffel Tower in France, weather condition: Sunny."
289,Great Wall of China,China,No,Cloudy,34,Light,9,"Information about Great Wall of China in China, weather condition: Cloudy."
290,Central Park,USA,Yes,Rainy,35,Moderate,10,"Information about Central Park in USA, weather condition: Rainy."
291,Times Square,Canada,No,Windy,36,Heavy,11,"Information about Times Square in Canada, weather condition: Windy."
292,Berlin Wall,Germany,Yes,Snowy,37,None,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
293,Sydney Opera House,Australia,No,Foggy,38,Light,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
294,Taj Mahal,India,Yes,Sunny,39,Moderate,14,"Information about Taj Mahal in India, weather condition: Sunny."
295,Mount Fuji,Japan,No,Cloudy,40,Heavy,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
296,Christ the Redeemer,Brazil,Yes,Rainy,41,None,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
297,Big Ben,UK,No,Windy,42,Light,17,"Information about Big Ben in UK, weather condition: Windy."
298,Eiffel Tower,France,Yes,Snowy,43,Moderate,18,"Information about Eiffel Tower in France, weather condition: Snowy."
299,Great Wall of China,China,No,Foggy,44,Heavy,19,"Information about Great Wall of China in China, weather condition: Foggy."
300,Central Park,USA,Yes,Sunny,15,None,5,"Information about Central Park in USA, weather condition: Sunny."
301,Times Square,Canada,No,Cloudy,16,Light,6,"Information about Times Square in Canada, weather condition: Cloudy."
302,Berlin Wall,Germany,Yes,Rainy,17,Moderate,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
303,Sydney Opera House,Australia,No,Windy,18,Heavy,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
304,Taj Mahal,India,Yes,Snowy,19,None,9,"Information about Taj Mahal in India, weather condition: Snowy."
305,Mount Fuji,Japan,No,Foggy,20,Light,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
306,Christ the Redeemer,Brazil,Yes,Sunny,21,Moderate,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
307,Big Ben,UK,No,Cloudy,22,Heavy,12,"Information about Big Ben in UK, weather condition: Cloudy."
308,Eiffel Tower,France,Yes,Rainy,23,None,13,"Information about Eiffel Tower in France, weather condition: Rainy."
309,Great Wall of China,China,No,Windy,24,Light,14,"Information about Great Wall of China in China, weather condition: Windy."
310,Central Park,USA,Yes,Snowy,25,Moderate,15,"Information about Central Park in USA, weather condition: Snowy."
311,Times Square,Canada,No,Foggy,26,Heavy,16,"Information about Times Square in Canada, weather condition: Foggy."
312,Berlin Wall,Germany,Yes,Sunny,27,None,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
313,Sydney Opera House,Australia,No,Cloudy,28,Light,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
314,Taj Mahal,India,Yes,Rainy,29,Moderate,19,"Information about Taj Mahal in India, weather condition: Rainy."
315,Mount Fuji,Japan,No,Windy,30,Heavy,5,"Information about Mount Fuji in Japan, weather condition: Windy."
316,Christ the Redeemer,Brazil,Yes,Snowy,31,None,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
317,Big Ben,UK,No,Foggy,32,Light,7,"Information about Big Ben in UK, weather condition: Foggy."
318,Eiffel Tower,France,Yes,Sunny,33,Moderate,8,"Information about Eiffel Tower in France, weather condition: Sunny."
319,Great Wall of China,China,No,Cloudy,34,Heavy,9,"Information about Great Wall of China in China, weather condition: Cloudy."
320,Central Park,USA,Yes,Rainy,35,None,10,"Information about Central Park in USA, weather condition: Rainy."
321,Times Square,Canada,No,Windy,36,Light,11,"Information about Times Square in Canada, weather condition: Windy."
322,Berlin Wall,Germany,Yes,Snowy,37,Moderate,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
323,Sydney Opera House,Australia,No,Foggy,38,Heavy,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
324,Taj Mahal,India,Yes,Sunny,39,None,14,"Information about Taj Mahal in India, weather condition: Sunny."
325,Mount Fuji,Japan,No,Cloudy,40,Light,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
326,Christ the Redeemer,Brazil,Yes,Rainy,41,Moderate,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
327,Big Ben,UK,No,Windy,42,Heavy,17,"Information about Big Ben in UK, weather condition: Windy."
328,Eiffel Tower,France,Yes,Snowy,43,None,18,"Information about Eiffel Tower in France, weather condition: Snowy."
329,Great Wall of China,China,No,Foggy,44,Light,19,"Information about Great Wall of China in China, weather condition: Foggy."
330,Central Park,USA,Yes,Sunny,15,Moderate,5,"Information about Central Park in USA, weather condition: Sunny."
331,Times Square,Canada,No,Cloudy,16,Heavy,6,"Information about Times Square in Canada, weather condition: Cloudy."
332,Berlin Wall,Germany,Yes,Rainy,17,None,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
333,Sydney Opera House,Australia,No,Windy,18,Light,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
334,Taj Mahal,India,Yes,Snowy,19,Moderate,9,"Information about Taj Mahal in India, weather condition: Snowy."
335,Mount Fuji,Japan,No,Foggy,20,Heavy,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
336,Christ the Redeemer,Brazil,Yes,Sunny,21,None,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
337,Big Ben,UK,No,Cloudy,22,Light,12,"Information about Big Ben in UK, weather condition: Cloudy."
338,Eiffel Tower,France,Yes,Rainy,23,Moderate,13,"Information about Eiffel Tower in France, weather condition: Rainy."
339,Great Wall of China,China,No,Windy,24,Heavy,14,"Information about Great Wall of China in China, weather condition: Windy."
340,Central Park,USA,Yes,Snowy,25,None,15,"Information about Central Park in USA, weather condition: Snowy."
341,Times Square,Canada,No,Foggy,26,Light,16,"Information about Times Square in Canada, weather condition: Foggy."
342,Berlin Wall,Germany,Yes,Sunny,27,Moderate,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
343,Sydney Opera House,Australia,No,Cloudy,28,Heavy,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
344,Taj Mahal,India,Yes,Rainy,29,None,19,"Information about Taj Mahal in India, weather condition: Rainy."
345,Mount Fuji,Japan,No,Windy,30,Light,5,"Information about Mount Fuji in Japan, weather condition: Windy."
346,Christ the Redeemer,Brazil,Yes,Snowy,31,Moderate,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
347,Big Ben,UK,No,Foggy,32,Heavy,7,"Information about Big Ben in UK, weather condition: Foggy."
348,Eiffel Tower,France,Yes,Sunny,33,None,8,"Information about Eiffel Tower in France, weather condition: Sunny."
349,Great Wall of China,China,No,Cloudy,34,Light,9,"Information about Great Wall of China in China, weather condition: Cloudy."
350,Central Park,USA,Yes,Rainy,35,Moderate,10,"Information about Central Park in USA, weather condition: Rainy."
351,Times Square,Canada,No,Windy,36,Heavy,11,"Information about Times Square in Canada, weather condition: Windy."
352,Berlin Wall,Germany,Yes,Snowy,37,None,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
353,Sydney Opera House,Australia,No,Foggy,38,Light,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
354,Taj Mahal,India,Yes,Sunny,39,Moderate,14,"Information about Taj Mahal in India, weather condition: Sunny."
355,Mount Fuji,Japan,No,Cloudy,40,Heavy,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
356,Christ the Redeemer,Brazil,Yes,Rainy,41,None,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
357,Big Ben,UK,No,Windy,42,Light,17,"Information about Big Ben in UK, weather condition: Windy."
358,Eiffel Tower,France,Yes,Snowy,43,Moderate,18,"Information about Eiffel Tower in France, weather condition: Snowy."
359,Great Wall of China,China,No,Foggy,44,Heavy,19,"Information about Great Wall of China in China, weather condition: Foggy."
360,Central Park,USA,Yes,Sunny,15,None,5,"Information about Central Park in USA, weather condition: Sunny."
361,Times Square,Canada,No,Cloudy,16,Light,6,"Information about Times Square in Canada, weather condition: Cloudy."
362,Berlin Wall,Germany,Yes,Rainy,17,Moderate,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
363,Sydney Opera House,Australia,No,Windy,18,Heavy,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
364,Taj Mahal,India,Yes,Snowy,19,None,9,"Information about Taj Mahal in India, weather condition: Snowy."
365,Mount Fuji,Japan,No,Foggy,20,Light,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
366,Christ the Redeemer,Brazil,Yes,Sunny,21,Moderate,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
367,Big Ben,UK,No,Cloudy,22,Heavy,12,"Information about Big Ben in UK, weather condition: Cloudy."
368,Eiffel Tower,France,Yes,Rainy,23,None,13,"Information about Eiffel Tower in France, weather condition: Rainy."
369,Great Wall of China,China,No,Windy,24,Light,14,"Information about Great Wall of China in China, weather condition: Windy."
370,Central Park,USA,Yes,Snowy,25,Moderate,15,"Information about Central Park in USA, weather condition: Snowy."
371,Times Square,Canada,No,Foggy,26,Heavy,16,"Information about Times Square in Canada, weather condition: Foggy."
372,Berlin Wall,Germany,Yes,Sunny,27,None,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
373,Sydney Opera House,Australia,No,Cloudy,28,Light,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
374,Taj Mahal,India,Yes,Rainy,29,Moderate,19,"Information about Taj Mahal in India, weather condition: Rainy."
375,Mount Fuji,Japan,No,Windy,30,Heavy,5,"Information about Mount Fuji in Japan, weather condition: Windy."
376,Christ the Redeemer,Brazil,Yes,Snowy,31,None,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
377,Big Ben,UK,No,Foggy,32,Light,7,"Information about Big Ben in UK, weather condition: Foggy."
378,Eiffel Tower,France,Yes,Sunny,33,Moderate,8,"Information about Eiffel Tower in France, weather condition: Sunny."
379,Great Wall of China,China,No,Cloudy,34,Heavy,9,"Information about Great Wall of China in China, weather condition: Cloudy."
380,Central Park,USA,Yes,Rainy,35,None,10,"Information about Central Park in USA, weather condition: Rainy."
381,Times Square,Canada,No,Windy,36,Light,11,"Information about Times Square in Canada, weather condition: Windy."
382,Berlin Wall,Germany,Yes,Snowy,37,Moderate,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
383,Sydney Opera House,Australia,No,Foggy,38,Heavy,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
384,Taj Mahal,India,Yes,Sunny,39,None,14,"Information about Taj Mahal in India, weather condition: Sunny."
385,Mount Fuji,Japan,No,Cloudy,40,Light,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
386,Christ the Redeemer,Brazil,Yes,Rainy,41,Moderate,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
